,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,datums,periode,niveau,vak,reeks
,time,event,docent,training,observatie,time,event,docent,training,observatie,time,event,docent,training,observatie,,6,vwo,wiskunde A,examencursus
0,08:30:00,Cursusintro,Levi,[],sh,08:30:00,FO Sinus,Levi,[],,08:30:00,Differentiëren regels,Levi,[],,2024-12-28,,,,
1,08:45:00,Structureren,Levi,[],sh,08:45:00,FO Sinus,Levi,[],,08:45:00,Differentiëren regels,Levi,[],,2024-12-29,,,,
2,09:00:00,Structureren,Levi,[],sh,09:00:00,FO Sinus,Levi,[],,09:00:00,Differentiëren regels,Levi,[],,2024-12-30,,,,
3,09:15:00,Structureren,Levi,[],,09:15:00,,,[],,09:15:00,,,[],,,,,,
4,09:30:00,,,[],,09:30:00,,,[],,09:30:00,,,[],,,,,,
5,09:45:00,,,[],,09:45:00,,,[],,09:45:00,,,[],,,,,,
6,10:00:00,,,[],,10:00:00,,,[],,10:00:00,,,[],,,,,,
7,10:15:00,,,[],,10:15:00,,,[],,10:15:00,Differentiëren soorten vragen,Levi,[],,,,,,
8,10:30:00,,,['Levi'],,10:30:00,Onderzoeksopgave 1,Levi,[],,10:30:00,Differentiëren soorten vragen,Levi,[],,,,,,
9,10:45:00,,,['Levi'],,10:45:00,Onderzoeksopgave 1,Levi,[],,10:45:00,Differentiëren soorten vragen,Levi,[],,,,,,
10,11:00:00,Pauze,,['Levi'],,11:00:00,Pauze,,[],,11:00:00,Pauze,,[],,,,,,
11,11:15:00,Pauze,,['Levi'],,11:15:00,Pauze,,[],,11:15:00,Pauze,,[],,,,,,
12,11:30:00,,,['Levi'],,11:30:00,Rijen,Levi,[],bp,11:30:00,,,[],,,,,,
13,11:45:00,,,['Levi'],,11:45:00,Rijen,Levi,[],bp,11:45:00,,,[],,,,,,
14,12:00:00,,,['Levi'],,12:00:00,Rijen,Levi,[],,12:00:00,,,[],,,,,,
15,12:15:00,,,['Levi'],,12:15:00,,,[],,12:15:00,,,[],,,,,,
16,12:30:00,,,[],,12:30:00,,,[],,12:30:00,,,[],,,,,,
17,12:45:00,,,[],,12:45:00,,,[],,12:45:00,,,[],,,,,,
18,13:00:00,Algebra omschrijven,,[],,13:00:00,,,[],,13:00:00,,,[],,,,,,
19,13:15:00,Algebra omschrijven,,[],,13:15:00,,,[],,13:15:00,,,[],,,,,,
20,13:30:00,Pauze,,[],,13:30:00,Pauze,,[],,13:30:00,Pauze,,[],,,,,,
21,13:45:00,Pauze,,[],,13:45:00,Pauze,,[],,13:45:00,Pauze,,[],,,,,,
22,14:00:00,Pauze,,[],,14:00:00,Pauze,,[],,14:00:00,Pauze,,[],,,,,,
23,14:15:00,Algebra omschrijven,,[],,14:15:00,,,[],,14:15:00,Combinatoriek,Levi,[],,,,,,
24,14:30:00,Algebra omschrijven,,[],,14:30:00,,,[],,14:30:00,Combinatoriek,Levi,[],lh,,,,,
25,14:45:00,,,[],,14:45:00,,,[],,14:45:00,Combinatoriek,Levi,[],lh,,,,,
26,15:00:00,,,[],,15:00:00,,,[],,15:00:00,,,[],,,,,,
27,15:15:00,,,[],,15:15:00,,,[],,15:15:00,,,[],,,,,,
28,15:30:00,,,[],,15:30:00,Beredeneren,Levi,[],,15:30:00,,,[],,,,,,
29,15:45:00,,,[],,15:45:00,Beredeneren,Levi,[],,15:45:00,,,[],,,,,,
30,16:00:00,,,[],,16:00:00,Beredeneren,Levi,[],,16:00:00,,,[],,,,,,
31,16:15:00,Pauze,,[],,16:15:00,Pauze,,[],,16:15:00,Pauze,,[],,,,,,
32,16:30:00,Pauze,,[],,16:30:00,Pauze,,[],,16:30:00,Pauze,,[],,,,,,
33,16:45:00,FO Herkennen & Expo,Levi,[],bp,16:45:00,,,[],,16:45:00,,,[],,,,,,
34,17:00:00,FO Herkennen & Expo,Levi,[],bp,17:00:00,,,[],,17:00:00,,,[],,,,,,
35,17:15:00,FO Herkennen & Expo,Levi,[],,17:15:00,,,[],,17:15:00,,,[],,,,,,
36,17:30:00,,,[],,17:30:00,,,[],,17:30:00,,,[],,,,,,
37,17:45:00,,,[],,17:45:00,,,[],,17:45:00,,,[],,,,,,
38,18:00:00,,,[],,18:00:00,Onderzoeksopgave 2,Levi,[],,18:00:00,,,[],,,,,,
39,18:15:00,Avondeten,,[],,18:15:00,Onderzoeksopgave 2,Levi,[],,18:15:00,Cursusevaluatie,Levi,[],,,,,,
40,18:30:00,Avondeten,,[],,18:30:00,Avondeten,,[],,18:30:00,Avondeten,,[],,,,,,
41,18:45:00,Avondeten,,[],,18:45:00,Avondeten,,[],,18:45:00,Avondeten,,[],,,,,,
42,19:00:00,Avondeten,,[],,19:00:00,Avondeten,,[],,19:00:00,Avondeten,,[],,,,,,
43,19:15:00,,,[],,19:15:00,,,[],,19:15:00,,,[],,,,,,
44,19:30:00,,,[],,19:30:00,,,[],,19:30:00,,,[],,,,,,
45,19:45:00,,,[],,19:45:00,,,[],,19:45:00,,,[],,,,,,
46,20:00:00,,,[],,20:00:00,,,[],,20:00:00,,,[],,,,,,
47,20:15:00,,,[],,20:15:00,,,[],,20:15:00,,,[],,,,,,
48,20:30:00,,,[],,20:30:00,,,[],,20:30:00,,,[],,,,,,
49,20:45:00,,,[],,20:45:00,,,[],,20:45:00,,,[],,,,,,
50,21:00:00,,,[],,21:00:00,,,[],,21:00:00,,,[],,,,,,
51,21:15:00,,,[],,21:15:00,,,[],,21:15:00,,,[],,,,,,
52,21:30:00,,,[],,21:30:00,,,[],,21:30:00,,,[],,,,,,
53,,,,[],,,,,[],,,,,[],,,,,,
54,,,,[],,,,,[],,,,,[],,,,,,
